channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
-1e-05,1e-05,-1e-05,-2e-05,-1e-05,-2e-05,-1e-05,0.0,0
-1e-05,-2e-05,0.0,1e-05,1e-05,1e-05,0.0,-2e-05,0
-1e-05,-2e-05,0.0,1e-05,1e-05,1e-05,0.0,-2e-05,0
-1e-05,-2e-05,0.0,1e-05,1e-05,1e-05,0.0,-2e-05,0
-1e-05,-2e-05,0.0,1e-05,1e-05,1e-05,0.0,-2e-05,0
-1e-05,-2e-05,0.0,1e-05,1e-05,1e-05,0.0,-2e-05,0
-1e-05,-2e-05,0.0,1e-05,1e-05,1e-05,0.0,-2e-05,0
-1e-05,-2e-05,0.0,1e-05,1e-05,1e-05,0.0,-2e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
1e-05,-2e-05,2e-05,-1e-05,0.0,-2e-05,-1e-05,1e-05,0
0.0,-7e-05,-3e-05,-1e-05,-2e-05,-2e-05,-2e-05,-3e-05,0
0.0,-1e-05,-3e-05,-2e-05,-1e-05,0.0,0.0,0.0,0
0.0,-1e-05,-3e-05,-2e-05,-1e-05,0.0,0.0,0.0,0
