channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
-1e-05,-2e-05,0.0,3e-05,-4e-05,-2e-05,-2e-05,-1e-05,0
1e-05,-2e-05,-2e-05,-9e-05,-0.00012,-1e-05,0.0,0.0,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
-1e-05,2e-05,1e-05,3e-05,-0.00017,-2e-05,-1e-05,-2e-05,0
0.0,-1e-05,-1e-05,8e-05,0.0,-2e-05,0.0,-1e-05,0
0.0,-1e-05,-1e-05,8e-05,0.0,-2e-05,0.0,-1e-05,0
0.0,-1e-05,-1e-05,8e-05,0.0,-2e-05,0.0,-1e-05,0
0.0,-1e-05,-1e-05,8e-05,0.0,-2e-05,0.0,-1e-05,0
0.0,-1e-05,-1e-05,8e-05,0.0,-2e-05,0.0,-1e-05,0
0.0,-1e-05,-1e-05,8e-05,0.0,-2e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-1e-05,-2e-05,-1e-05,-1e-05,0.00022,3e-05,0.0,-1e-05,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
-2e-05,0.0,-3e-05,-3e-05,-8e-05,-2e-05,-1e-05,0.0,0
0.0,-1e-05,0.0,0.0,5e-05,-2e-05,0.0,-1e-05,0
0.0,-1e-05,0.0,0.0,5e-05,-2e-05,0.0,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
0.0,-1e-05,-2e-05,-6e-05,-2e-05,-1e-05,-2e-05,-1e-05,0
-2e-05,-2e-05,0.0,0.0,-2e-05,-3e-05,-2e-05,-2e-05,0
-2e-05,-2e-05,0.0,0.0,-2e-05,-3e-05,-2e-05,-2e-05,0
-2e-05,-2e-05,0.0,0.0,-2e-05,-3e-05,-2e-05,-2e-05,0
-2e-05,-2e-05,0.0,0.0,-2e-05,-3e-05,-2e-05,-2e-05,0
-2e-05,-2e-05,0.0,0.0,-2e-05,-3e-05,-2e-05,-2e-05,0
-2e-05,-2e-05,0.0,0.0,-2e-05,-3e-05,-2e-05,-2e-05,0
-2e-05,-2e-05,0.0,0.0,-2e-05,-3e-05,-2e-05,-2e-05,0
-2e-05,-2e-05,0.0,0.0,-2e-05,-3e-05,-2e-05,-2e-05,0
-2e-05,-2e-05,0.0,0.0,-2e-05,-3e-05,-2e-05,-2e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,0.0,-0.00018,-2e-05,-1e-05,-1e-05,0
-1e-05,0.0,1e-05,-0.00012,-0.00017,0.0,-1e-05,-2e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-1e-05,-1e-05,0
-1e-05,-2e-05,0.0,7e-05,3e-05,0.0,-2e-05,-1e-05,0
-1e-05,-2e-05,0.0,7e-05,3e-05,0.0,-2e-05,-1e-05,0
-1e-05,-2e-05,0.0,7e-05,3e-05,0.0,-2e-05,-1e-05,0
-1e-05,-2e-05,0.0,7e-05,3e-05,0.0,-2e-05,-1e-05,0
-1e-05,-2e-05,0.0,7e-05,3e-05,0.0,-2e-05,-1e-05,0
